id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
3041,140,Mastercard,Debit,5529182104663869,01/2022,182,YES,1,$19110,05/2010,2011,No
5312,140,Mastercard,Debit,5489017664251289,08/2023,196,YES,1,$13428,10/2016,2016,No
4150,140,Mastercard,Debit,5793675314684781,06/2022,43,YES,1,$24608,08/2005,2009,No
152,140,Mastercard,Debit,5845373196638993,09/2022,111,YES,1,$13441,01/2008,2011,No
445,838,Mastercard,Credit,5193780952753626,01/2021,591,YES,2,$13800,01/2020,2020,No
1468,1219,Mastercard,Debit,5546998350637125,02/2020,718,YES,1,$22697,02/2020,2020,No
2309,1219,Mastercard,Credit,5326031764905960,08/2023,437,YES,1,$18000,03/2013,2013,No
3466,1219,Mastercard,Debit,5096150037217374,10/2024,862,YES,1,$32903,06/2010,2010,No
2977,348,Visa,Debit,4228885239928189,10/2013,543,NO,1,$28283,05/2008,2012,No
3073,348,Visa,Credit,4210237285941913,04/2020,160,YES,1,$13500,05/2010,2012,No
3554,348,Visa,Credit,4877073763902898,07/2014,786,YES,2,$13300,06/2012,2012,No
2597,633,Mastercard,Debit,5558040779986506,09/2021,69,YES,2,$17941,04/2009,2009,No
1778,1866,Visa,Debit,4274334344737347,12/2024,174,YES,1,$24390,02/2020,2020,No
1478,1866,Mastercard,Debit,5073514573038606,02/2023,802,YES,1,$3106,02/2020,2020,No
3300,1913,Visa,Debit,4082503635321960,04/2008,947,NO,2,$21370,06/2005,2010,No
5226,1913,Amex,Credit,356204311290241,12/2022,312,YES,2,$16700,10/2011,2011,No
5477,1913,Amex,Credit,356951210404599,10/2024,952,YES,1,$17800,11/2007,2011,No
5877,1913,Mastercard,Credit,5697567028506344,11/2020,356,YES,2,$16200,12/2007,2011,No
3084,1913,Amex,Credit,333504501414647,12/2020,276,YES,1,$17700,05/2011,2013,No
2599,1103,Mastercard,Debit,5557896137687493,06/2023,598,YES,2,$15409,04/2009,2010,No
4984,1103,Mastercard,Credit,5675172699563859,08/2023,294,YES,1,$5300,10/2003,2012,No
2895,1103,Mastercard,Debit,5259283165298575,12/2016,403,YES,1,$13469,05/2006,2009,No
2154,1758,Visa,Debit,4631099146168683,12/2018,597,YES,1,$13725,03/2007,2014,No
4686,1758,Visa,Debit,4716755530325962,12/2024,821,YES,2,$8278,09/2008,2010,No
3440,1758,Visa,Debit,4053406246662206,09/2020,491,YES,2,$13514,06/2009,2018,No
2674,1758,Mastercard,Credit,5105518827174579,11/2024,883,YES,1,$3800,04/2011,2011,No
5186,437,Discover,Credit,6661610009330324,09/2014,5,YES,1,$17400,10/2010,2013,No
5454,437,Mastercard,Debit,5073319862133386,01/2024,52,YES,1,$35500,11/2006,2011,No
