id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,monthly_discretionary_limits
140,37,72,1983,2,Female,108 Washington Street,36.28,-86.83,"$20,657 ","$42,120 ","$72,801 ",739,4,"$1,755 "
838,26,70,1993,7,Male,349 First Drive,33.78,-84.44,"$24,382 ","$49,713 ","$91,776 ",763,1,"$2,071 "
1219,28,72,1991,6,Female,9977 Oak Avenue,38.68,-76.17,"$28,497 ","$58,105 ","$70,254 ",688,3,"$2,421 "
348,49,70,1970,7,Female,480 Seventh Lane,40.22,-74.76,"$22,747 ","$46,377 ","$79,980 ",719,3,"$1,932 "
633,36,69,1983,10,Female,5506 Fifth Boulevard,33.88,-118.27,"$24,611 ","$50,179 ","$110,515 ",743,1,"$2,091 "
1866,22,67,1998,2,Male,213 Rose Drive,32.85,-96.96,"$30,475 ","$62,135 ","$75,209 ",676,2,"$2,589 "
1913,60,57,1960,1,Female,561 Martin Luther King Avenue,42.47,-83.49,"$34,259 ","$31,121 ","$32,768 ",619,5,"$1,297 "
1103,45,70,1974,5,Female,31 Jefferson Boulevard,47.09,-116.46,"$12,618 ","$25,723 ","$34,007 ",746,3,"$1,072 "
1758,57,66,1963,1,Male,126 Valley Drive,32.32,-90.2,"$11,061 ","$22,556 ","$43,260 ",645,4,$940 
437,46,66,1973,6,Female,9528 Hill Street,39.04,-76.49,"$35,645 ","$72,670 ","$28,915 ",718,3,"$3,028 "
891,38,66,1981,10,Female,177 Maple Boulevard,35.44,-94.35,"$17,093 ","$34,854 ","$40,722 ",746,5,"$1,452 "
29,68,60,1951,8,Female,318 Spruce Boulevard,42.47,-70.96,"$18,682 ","$27,358 ","$13,557 ",665,2,"$1,140 "
186,61,69,1958,11,Female,49 Bayview Lane,36.1,-115.02,"$18,897 ","$38,536 ","$72,299 ",705,1,"$1,606 "
1314,43,70,1976,11,Male,857 Jefferson Avenue,29.7,-98.11,"$19,325 ","$39,404 ","$71,859 ",723,5,"$1,642 "
354,77,72,1942,8,Female,9 Plum Boulevard,38.86,-104.76,"$22,185 ","$31,942 ","$11,845 ",713,6,"$1,331 "
119,44,67,1975,9,Female,60 Little Creek Avenue,36.16,-115.28,"$27,761 ","$56,605 ","$87,970 ",624,3,"$2,359 "
244,40,62,1979,7,Female,8100 Hill Avenue,30.58,-84.58,"$13,144 ","$26,802 ","$43,444 ",638,2,"$1,117 "
817,26,67,1993,5,Male,91 Lake Street,30.06,-89.93,"$32,314 ","$65,888 ","$162,364 ",803,2,"$2,745 "
1408,42,67,1978,2,Male,209 George Avenue,33.31,-81.13,"$12,189 ","$24,859 ","$43,986 ",683,2,"$1,036 "
1352,65,64,1954,3,Female,8437 Sixth Street,44.75,-85.6,"$20,035 ","$42,102 ","$9,645 ",672,3,"$1,754 "
1951,48,66,1971,5,Female,328 Birch Street,39.13,-76.69,"$31,075 ","$63,355 ",$0 ,708,5,"$2,640 "
1976,33,69,1986,3,Female,2552 Forest Avenue,39.61,-76.85,"$27,906 ","$56,897 ",$0 ,699,5,"$2,371 "
785,18,67,2001,11,Male,13 Main Boulevard,38.16,-121.93,"$23,990 ","$48,909 ","$71,310 ",740,2,"$2,038 "
1833,27,71,1993,1,Male,5514 Norfolk Boulevard,35.58,-88.5,"$17,179 ","$35,026 ","$11,468 ",743,5,"$1,459 "
345,33,67,1986,7,Male,67424 Tenth Boulevard,42.24,-85.48,"$17,409 ","$35,499 ","$80,517 ",724,1,"$1,479 "
